"T","Points:0","Points:1","Points:2"
330.84,0.462,-0.12343,0
332.2,0.468,-0.12343,0
332.23,0.474,-0.12343,0
331.59,0.48,-0.12343,0
331.29,0.486,-0.12343,0
330.25,0.492,-0.12343,0
327.77,0.498,-0.12343,0
324.81,0.504,-0.12343,0
322.74,0.51,-0.12343,0
321.61,0.516,-0.12343,0
320.92,0.522,-0.12343,0
320.52,0.528,-0.12343,0
320.32,0.534,-0.12343,0
320.16,0.54,-0.12343,0
320.01,0.546,-0.12343,0
319.92,0.552,-0.12343,0
320.14,0.558,-0.12343,0
320.84,0.564,-0.12343,0
320.1,0.57,-0.12343,0
318.91,0.576,-0.12343,0
319.97,0.006,-0.12049,0
320,0,-0.12049,0
319.98,0.012,-0.12049,0
319.98,0.018,-0.12049,0
319.98,0.024,-0.12049,0
319.98,0.03,-0.12049,0
319.98,0.036,-0.12049,0
319.98,0.042,-0.12049,0
319.99,0.048,-0.12049,0
319.99,0.054,-0.12049,0
319.98,0.06,-0.12049,0
319.98,0.066,-0.12049,0
319.98,0.072,-0.12049,0
319.98,0.078,-0.12049,0
319.97,0.084,-0.12049,0
319.97,0.09,-0.12049,0
319.97,0.096,-0.12049,0
319.96,0.102,-0.12049,0
319.96,0.108,-0.12049,0
319.96,0.114,-0.12049,0
319.96,0.12,-0.12049,0
319.95,0.126,-0.12049,0
319.95,0.132,-0.12049,0
319.95,0.138,-0.12049,0
319.95,0.144,-0.12049,0
319.95,0.15,-0.12049,0
319.95,0.156,-0.12049,0
319.95,0.162,-0.12049,0
319.94,0.168,-0.12049,0
319.94,0.174,-0.12049,0
319.93,0.18,-0.12049,0
319.92,0.186,-0.12049,0
319.91,0.192,-0.12049,0
319.9,0.198,-0.12049,0
319.91,0.204,-0.12049,0
319.91,0.21,-0.12049,0
319.92,0.216,-0.12049,0
320.03,0.222,-0.12049,0
320.52,0.228,-0.12049,0
324.47,0.234,-0.12049,0
333.54,0.24,-0.12049,0
341.75,0.246,-0.12049,0
345.13,0.252,-0.12049,0
345.43,0.258,-0.12049,0
345.03,0.264,-0.12049,0
345.44,0.27,-0.12049,0
344.31,0.276,-0.12049,0
341.69,0.282,-0.12049,0
337.07,0.288,-0.12049,0
331.95,0.294,-0.12049,0
330.86,0.3,-0.12049,0
336.84,0.306,-0.12049,0
348.27,0.312,-0.12049,0
352.94,0.318,-0.12049,0
352.64,0.324,-0.12049,0
356.4,0.33,-0.12049,0
359.25,0.336,-0.12049,0
358.87,0.342,-0.12049,0
358.2,0.348,-0.12049,0
357.52,0.354,-0.12049,0
356.21,0.36,-0.12049,0
